Date,WMT,MRK,INTC,MSFT,MMM,AAPL,VZ,JNJ,KO,PG,UNH,PFE,WBA,CAT,MCD,IBM,NKE,DIS,HD,TRV,RTX,AXP,CVX,JPM,XOM,BA
1999-02-02,41.8125,75.15625,33.65625,41.90625,37.9375,0.34988799691200256,53.95936584472656,41.46875,32.625,44.25,5.875,41.963157653808594,30.65625,21.65625,39.53125,88.375,5.882812976837158,32.9244384765625,38.41666793823242,29.625,19.07646369934082,29.08548927307129,37.46875,51.20833206176758,34.34375,34.1875
1999-02-03,42.875,74.9375,34.671875,41.703125,37.3125,0.3588170111179352,53.90315628051758,42.1875,32.25,44.4375,5.890625,42.29917907714844,30.875,21.5625,40.6875,87.625,6.09375,33.17106246948242,39.08333206176758,29.75,19.273128509521484,29.32254981994629,38.0,52.91666793823242,35.1875,36.8125
1999-02-04,41.875,75.125,32.53125,39.765625,38.25,0.33816999197006226,53.67832565307617,41.9375,31.78125,43.90625,5.75,41.60736846923828,30.5,22.0625,40.375,84.78125,5.9375,32.67781448364258,38.41666793823242,30.625,19.282960891723633,29.24960708618164,38.46875,51.95833206176758,34.90625,36.5
1999-02-05,42.125,74.6875,31.890625,40.0,39.09375,0.3242189884185791,52.329341888427734,42.0,31.03125,42.4375,5.65625,41.38994216918945,30.34375,23.125,40.15625,83.0,6.09375,33.78762435913086,37.25,31.0,19.66645622253418,28.62960433959961,39.4375,50.95833206176758,35.84375,37.25
1999-02-08,42.71875,74.9375,33.0,41.3125,38.25,0.3370540142059326,52.89141845703125,42.0,30.75,43.15625,5.5625,41.548072814941406,29.71875,23.625,40.4375,83.5,6.375,33.54100036621094,37.0,31.0,18.879798889160156,28.31960105895996,40.875,48.75,36.34375,36.375
1999-02-09,41.0625,72.6875,31.328125,40.015625,37.625,0.3320310115814209,52.38555145263672,41.34375,30.96875,43.125,5.25,39.61100769042969,29.34375,23.25,40.125,81.375,6.34375,33.04774856567383,36.16666793823242,30.25,18.919132232666016,27.991365432739258,39.875,48.0,36.09375,35.5
1999-02-10,40.46875,73.125,32.203125,40.15625,37.6875,0.34207600355148315,52.10451126098633,41.90625,31.8125,44.0,5.3125,40.08538818359375,29.59375,22.96875,39.9375,84.4375,6.179687976837158,33.602657318115234,37.04166793823242,31.0,18.72246742248535,28.228424072265625,39.1875,48.70833206176758,36.28125,35.625
1999-02-11,42.90625,75.375,33.3125,40.6875,38.4375,0.35379499197006226,52.10451126098633,42.3125,32.1875,44.21875,5.453125,41.90385818481445,30.75,22.78125,41.0,89.25,6.179687976837158,34.712467193603516,38.83333206176758,30.9375,19.115795135498047,29.468433380126953,39.65625,50.75,35.1875,35.875
1999-02-12,42.1875,75.25,31.625,39.4375,38.6875,0.3364959955215454,51.992095947265625,42.3125,31.9375,43.75,5.570312976837158,41.15275192260742,30.1875,22.40625,40.65625,86.375,6.210937976837158,34.9590950012207,37.91666793823242,30.4375,18.72246742248535,29.158430099487305,39.9375,49.375,34.71875,35.5625
1999-02-16,43.78125,76.96875,31.59375,39.0625,38.21875,0.34207600355148315,52.04830551147461,43.3125,32.4375,44.84375,5.9375,41.37017822265625,31.875,22.625,40.90625,86.25,6.289062976837158,34.58915710449219,38.70833206176758,32.0625,19.115795135498047,29.814905166625977,39.75,51.79166793823242,34.28125,35.8125
1999-02-17,42.53125,76.1875,31.15625,37.5,38.03125,0.33035698533058167,51.54243469238281,42.875,32.15625,45.15625,5.851562976837158,41.11322021484375,31.375,22.875,40.25,85.25,6.0625,34.4041862487793,38.66666793823242,32.0625,19.155128479003906,29.960790634155273,38.6875,51.5,34.3125,35.5625
1999-02-18,42.6875,77.875,32.03125,36.4375,38.15625,0.3214290142059326,52.55417251586914,43.15625,32.3125,45.8125,5.898437976837158,41.4690055847168,31.625,22.40625,41.46875,87.125,6.070312976837158,34.03424835205078,38.95833206176758,32.4375,19.36162757873535,29.942554473876953,39.0,50.83333206176758,34.4375,35.875
1999-02-19,42.375,79.0,32.015625,36.9375,38.375,0.3320310115814209,51.654850006103516,43.3125,32.875,45.90625,5.875,40.57953643798828,31.1875,22.53125,42.78125,85.8125,6.085937976837158,33.66431427001953,40.33333206176758,32.3125,19.735288619995117,30.106672286987305,38.46875,50.70833206176758,34.25,35.6875
1999-02-22,44.125,81.75,33.203125,37.203125,39.25,0.3431920111179352,54.01557159423828,43.96875,32.21875,46.5,6.117187976837158,42.06198501586914,32.5625,23.25,42.8125,88.96875,6.25,34.4041862487793,41.0,33.1875,19.902454376220703,31.65668296813965,38.96875,54.0,34.09375,36.25
1999-02-23,43.75,81.0625,33.5625,38.859375,38.90625,0.3431920111179352,51.43001937866211,43.6875,31.375,45.375,6.117187976837158,42.33871078491211,32.75,23.46875,42.84375,88.46875,6.742187976837158,34.4041862487793,40.375,33.5,19.67629051208496,32.56845474243164,39.40625,54.58333206176758,33.875,37.375
1999-02-24,42.28125,79.5,32.59375,38.21875,38.09375,0.33426299691200256,52.666587829589844,42.875,31.40625,44.78125,5.945312976837158,41.90385818481445,32.875,23.0,42.5,86.875,6.757812976837158,34.58915710449219,39.75,32.375,19.528791427612305,31.41962242126465,39.15625,52.54166793823242,33.9296875,35.625
1999-02-25,42.5,80.8125,31.9375,38.375,37.625,0.32979899644851685,51.87968063354492,42.21875,32.125,44.90625,5.976562976837158,41.38994216918945,31.625,22.84375,42.03125,86.8125,6.710937976837158,34.03424835205078,39.875,32.125,19.194461822509766,31.474328994750977,39.25,53.0,33.65625,35.0
1999-02-26,43.0625,81.5,29.984375,37.53125,37.03125,0.31082600355148315,51.8234748840332,42.6875,31.9375,44.75,6.164062976837158,41.7259635925293,32.0,22.78125,42.5,84.875,6.679687976837158,34.712467193603516,39.79166793823242,32.375,19.489458084106445,31.65668296813965,38.4375,53.08333206176758,33.28125,35.625
1999-03-01,42.9375,79.75,29.265625,37.9375,36.78125,0.3013390004634857,50.193450927734375,42.71875,31.84375,44.25,6.242187976837158,42.10151672363281,30.875,24.59375,43.28125,84.1875,6.632812976837158,34.342529296875,39.79166793823242,33.0625,19.607458114624023,32.531982421875,38.03125,53.83333206176758,32.59375,35.5
1999-03-02,42.71875,79.4375,27.453125,37.140625,37.1875,0.3091520071029663,49.01308822631836,42.53125,31.0625,45.09375,6.492187976837158,42.06198501586914,30.5,23.71875,44.9375,83.875,6.515625,33.72596740722656,39.29166793823242,32.875,19.607458114624023,32.00315475463867,37.84375,53.54166793823242,32.40625,34.5625
1999-03-03,43.6875,78.4375,28.671875,37.40625,37.40625,0.3052459955215454,49.12550735473633,42.34375,30.8125,45.65625,6.296875,41.60736846923828,29.875,23.625,44.4375,83.375,6.34375,34.03424835205078,40.125,32.5625,19.40096092224121,31.45609474182129,39.0,53.79166793823242,32.84375,33.9375
1999-03-04,44.6875,80.4375,28.34375,38.0625,37.59375,0.29854899644851685,49.12550735473633,43.46875,31.46875,46.0,6.25,42.02245330810547,28.875,23.96875,45.0625,85.5,6.40625,34.712467193603516,40.41666793823242,32.8125,19.735288619995117,32.96963119506836,39.65625,55.58333206176758,33.90625,34.875
1999-03-05,46.625,82.75,28.65625,38.734375,38.5625,0.2963170111179352,49.74378967285156,44.5,31.96875,47.0,6.445312976837158,43.18864440917969,29.9375,24.9375,47.15625,89.1875,6.671875,35.32903289794922,41.5,33.625,20.30561637878418,34.61082077026367,40.65625,57.91666793823242,34.84375,35.5625
1999-03-08,46.71875,82.9375,29.90625,39.75,38.4375,0.30691999197006226,49.12550735473633,44.53125,32.0,46.5,6.46875,44.137413024902344,30.4375,24.8125,45.25,89.4375,6.828125,35.945594787597656,42.08333206176758,33.0,19.98111915588379,34.00905227661133,40.53125,57.20833206176758,35.46875,34.8125
1999-03-09,47.0,83.125,28.828125,40.453125,38.90625,0.3046880066394806,49.069297790527344,43.8125,31.5,46.1875,6.554687976837158,43.84092330932617,29.9375,24.40625,43.5,91.09375,6.765625,34.21921920776367,42.79166793823242,33.5625,19.863121032714844,34.501407623291016,39.96875,58.625,34.96875,33.9375
1999-03-10,46.78125,82.8125,29.21875,40.34375,40.25,0.29073700308799744,48.67584228515625,43.75,31.4375,46.09375,6.539062976837158,44.15718078613281,30.125,24.5,43.75,90.75,7.125,34.03424835205078,43.29166793823242,33.5625,19.823789596557617,34.319053649902344,41.625,59.29166793823242,36.65625,34.1875
1999-03-11,47.65625,82.8125,29.53125,40.359375,40.0625,0.28738799691200256,49.518959045410156,44.40625,33.1875,46.0625,6.703125,44.47343444824219,30.9375,25.4375,44.6875,91.4375,6.960937976837158,34.21921920776367,43.58333206176758,33.1875,20.04995346069336,36.03318405151367,42.53125,58.79166793823242,37.375,34.5625
1999-03-12,48.1875,83.875,29.5625,40.046875,40.1875,0.2963170111179352,49.63137435913086,44.28125,34.71875,45.15625,6.570312976837158,44.394371032714844,30.375,22.34375,43.5,89.0,6.976562976837158,35.57565689086914,43.5,33.1875,20.059785842895508,36.835540771484375,42.34375,58.66666793823242,36.96875,35.125
1999-03-15,48.375,84.25,29.46875,41.46875,39.84375,0.3041290044784546,49.29412841796875,45.46875,34.34375,45.84375,6.734375,44.53273010253906,30.375,22.71875,44.1875,91.0,7.023437976837158,35.390689849853516,43.29166793823242,33.25,20.354782104492188,36.689659118652344,42.1875,58.16666793823242,36.84375,34.6875
1999-03-16,48.0,85.875,30.09375,42.265625,39.28125,0.3169640004634857,49.518959045410156,45.125,34.34375,45.96875,6.75,44.908287048339844,30.0,22.0,43.9375,90.5,7.0625,34.58915710449219,42.66666793823242,32.875,20.394115447998047,36.05141830444336,42.6875,56.54166793823242,36.5625,36.25
1999-03-17,48.1875,84.0,30.125,41.78125,38.1875,0.3041290044784546,48.67584228515625,44.96875,33.40625,45.78125,6.695312976837158,44.35483932495117,29.875,23.625,43.5625,89.03125,7.1875,34.03424835205078,42.08333206176758,32.875,20.492448806762695,35.28553009033203,42.8125,54.91666793823242,37.1875,35.75
1999-03-18,49.09375,86.0,30.453125,43.109375,36.8125,0.3169640004634857,48.732051849365234,44.90625,34.125,46.375,6.703125,45.22454071044922,30.4375,23.40625,43.75,88.8125,6.875,34.9590950012207,43.41666793823242,33.4375,20.767778396606445,37.23672103881836,43.25,55.91666793823242,37.34375,35.125
1999-03-19,47.375,86.0,29.75,42.796875,35.75,0.29910698533058167,47.720314025878906,45.53125,33.75,46.8125,6.703125,44.51296615600586,29.5,23.40625,43.625,84.28125,7.71875,34.58915710449219,42.16666793823242,32.8125,21.22010612487793,35.923770904541016,43.75,55.0,36.53125,34.0
1999-03-22,46.65625,86.375,28.78125,43.203125,36.21875,0.3130579888820648,47.66410446166992,45.8125,33.84375,47.75,6.78125,45.24430847167969,29.0,23.46875,42.625,83.5,7.359375,33.91093826293945,41.58333206176758,32.9375,20.96444320678711,35.850830078125,44.1875,54.58333206176758,36.875,34.875
